,name,publisher,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,publisher_counts
27194,Corridor 15 Firts,Other,5,4,"0 .. 20,000",0,0,0,0,499,499,0,2
27195,Adventures of Isabelle Fine: Murder on Rails,Other,6,1,"0 .. 20,000",0,0,0,0,499,499,0,1
27196,Munchkin: Quacked Quest,Asmodee Digital,19,30,"0 .. 20,000",0,0,0,0,2499,2499,0,27
27197,The 37th Week,Other,1,5,"0 .. 20,000",0,0,0,0,199,199,0,1
27198,Woodcutter Survival,Other,1,0,"0 .. 20,000",0,0,0,0,99,99,0,1
27199,Pixel Maze,Other,9,3,"0 .. 20,000",0,0,0,0,99,99,0,1
27200,烛梦灯  The Dreams of Candlelight,Other,9,3,"0 .. 20,000",0,0,0,0,599,599,0,1
27201,Don't Look Back - VR,Other,0,5,"0 .. 20,000",0,0,0,0,199,199,0,4
27202,Yōdanji,KEMCO,14,6,"0 .. 20,000",0,0,0,0,499,499,0,29
27203,Aqua Rally,Other,2,3,"0 .. 20,000",0,0,0,0,399,399,0,1
27204,AETERNITAS,Other,13,9,"0 .. 20,000",0,0,0,0,999,999,0,2
27205,Malevolence,Plug In Digital,3,0,"0 .. 20,000",0,0,0,0,1499,1499,0,87
27206,Cthulhu Mythos RPG -The Sleeping Girl of the Miasma Sea-,Other,12,2,"0 .. 20,000",0,0,0,0,599,599,0,17
27207,Habitus,Other,3,6,"0 .. 20,000",0,0,0,0,299,299,0,2
27208,Astronaut: The Moon Eclipse,Other,17,3,"0 .. 20,000",0,0,0,0,199,199,0,1
27209,Destruction,Other,0,1,"0 .. 20,000",0,0,0,0,999,999,0,2
27210,Pterodalien,Other,0,1,"0 .. 20,000",0,0,0,0,0,0,0,1
27211,Zombie Gotchi,Other,16,4,"0 .. 20,000",0,0,0,0,999,999,0,9
27212,EscapeRoute,Other,1,1,"0 .. 20,000",0,0,0,0,699,699,0,1
27213,No King No Kingdom VR,Other,17,6,"0 .. 20,000",0,0,0,0,1999,1999,0,2
27214,Starfighter Neon,Other,3,0,"0 .. 20,000",0,0,0,0,99,99,0,1
27215,Zakk Hazard The Deadly Spawn,Other,6,2,"0 .. 20,000",0,0,0,0,199,199,0,1
27216,Colonies,Other,6,1,"0 .. 20,000",0,0,0,0,799,799,0,1
27217,Dunk Lords,Other,31,1,"0 .. 20,000",0,0,0,0,1999,1999,0,1
27218,Hyper Flight,Other,3,0,"0 .. 20,000",0,0,0,0,499,499,0,2
27219,Mussoumano: Ataque dos Haters,Other,22,7,"0 .. 20,000",0,0,0,0,999,999,0,1
27220,Sable's Grimoire: Man And Elf,Other,22,0,"0 .. 20,000",0,0,0,0,599,599,0,5
27221,Welcome to Boon Hill,Other,31,4,"0 .. 20,000",0,0,0,0,19999,19999,0,3
27222,Slumlord Simulator,Other,5,6,"0 .. 20,000",0,0,0,0,399,399,0,1
27223,Under Water : Abyss Survival VR,Other,2,1,"0 .. 20,000",0,0,0,0,599,599,0,2
27224,The adventure of Kroos,Other,14,8,"0 .. 20,000",0,0,0,0,899,899,0,1
27225,Flavortown:VR,Other,6,0,"0 .. 20,000",0,0,0,0,0,0,0,1
27226,Bow to Blood: Last Captain Standing,Other,27,3,"0 .. 20,000",0,0,0,0,1999,1999,0,1
27227,PuppetShow: Souls of the Innocent Collector's Edition,Big Fish Games,2,0,"0 .. 20,000",0,0,0,0,999,999,0,324
27228,Wicked Witches,Other,8,7,"0 .. 20,000",0,0,0,0,999,999,0,1
27229,Kitten Madness,Other,4,2,"0 .. 20,000",0,0,0,0,699,699,0,1
27230,Global Fortune,Other,3,0,"0 .. 20,000",0,0,0,0,1499,1499,0,1
27231,You Shall Not Break!,Other,10,1,"0 .. 20,000",0,0,0,0,499,499,0,1
27232,Family Tree Heritage Platinum 15 – Windows,Individual Software,2,1,"0 .. 20,000",0,0,0,0,3999,3999,0,41
27233,SpacePig,Other,1,0,"0 .. 20,000",0,0,0,0,499,499,0,18
27234,Romantic Journey,Other,4,7,"0 .. 20,000",0,0,0,0,299,299,0,5
27235,Gamefuel Driver Control,Other,7,6,"0 .. 20,000",0,0,0,0,2999,2999,0,11
27236,ADIOS Amigos: A Space Physics Odyssey,Other,52,3,"0 .. 20,000",0,0,0,0,1499,1499,0,1
27237,SUSHIDO VS ZOMBIES,Other,1,0,"0 .. 20,000",0,0,0,0,399,399,0,8
27238,Voidrun,Other,23,1,"0 .. 20,000",0,0,0,0,899,899,0,5
27239,Super Chains,Other,16,1,"0 .. 20,000",0,0,0,0,499,499,0,4
27240,Duel Jousting,Other,2,2,"0 .. 20,000",0,0,0,0,499,499,0,2
27241,The Lighthouse,Other,26,0,"0 .. 20,000",0,0,0,0,2499,2499,0,1
27242,Bubble Burst,Other,18,0,"0 .. 20,000",0,0,0,0,299,299,0,1
27243,Rogue Buddies - Aztek Gold,Other,2,1,"0 .. 20,000",0,0,0,0,299,299,0,2
27244,Memorial Park of Hypoxia,Other,0,6,"0 .. 20,000",0,0,0,0,999,999,0,17
27245,Zeroptian Invasion,Other,20,0,"0 .. 20,000",0,0,0,0,599,599,0,1
27246,Rise: The Vieneo Province,Other,8,6,"0 .. 20,000",0,0,0,0,1999,1999,0,1
27247,抓雞遊戲 Catch Chicken Games,Other,1,0,"0 .. 20,000",0,0,0,0,399,399,0,1
27248,Amortizer Off-Road,Other,2,4,"0 .. 20,000",0,0,0,0,1199,1199,0,1
27249,Defend Your Buttress,Other,2,0,"0 .. 20,000",0,0,0,0,999,999,0,1
27250,Ruins to Rumble,GrabTheGames,6,3,"0 .. 20,000",0,0,0,0,899,899,0,40
27251,The Hero Unmasked!,Choice of Games,14,2,"0 .. 20,000",0,0,0,0,599,599,0,116
27252,Diorama No.3 : The Marchland,Other,12,4,"0 .. 20,000",0,0,0,0,299,299,0,3
27253,Ghoul Britannia: Land of Hope and Gorey,Other,2,1,"0 .. 20,000",0,0,0,0,1499,1499,0,1
27254,SOLE,Other,15,2,"0 .. 20,000",0,0,0,0,1499,1499,0,1
27255,New Outbreak,Other,1,1,"0 .. 20,000",0,0,0,0,999,999,0,1
27256,League of Light: Silent Mountain Collector's Edition,Big Fish Games,4,0,"0 .. 20,000",0,0,0,0,999,999,0,324
27257,Planet Stronghold: Colonial Defense,Winter Wolves,27,4,"0 .. 20,000",0,0,0,0,1999,1999,0,26
27258,AWAKEN：Gunpowder Adventurer Day.Dream,Other,13,2,"0 .. 20,000",0,0,0,0,999,999,0,1
27259,Space Captain McCallery - Episode 2: Pilgrims in Purple Moss,Other,4,0,"0 .. 20,000",0,0,0,0,499,499,0,11
27260,Rock-N-Rogue: A Boo Bunny Plague Adventure,Other,9,9,"0 .. 20,000",0,0,0,0,199,199,0,1
27261,eBall,Other,36,13,"0 .. 20,000",0,0,0,0,499,499,0,2
27262,Discontinue,Other,10,7,"0 .. 20,000",0,0,0,0,799,799,0,1
27263,Cars with Guns: It's About Time,Other,8,6,"0 .. 20,000",0,0,0,0,99,99,0,1
27264,地铁：恐怖末班车,Other,1,5,"0 .. 20,000",0,0,0,0,299,299,0,5
27265,Tiny Knight,Other,17,8,"0 .. 20,000",0,0,0,0,499,499,0,1
27266,Mech Merc Company,Other,30,1,"0 .. 20,000",0,0,0,0,1199,1199,0,1
27267,Citizens of Space,SEGA,19,5,"0 .. 20,000",0,0,0,0,1499,1499,0,86
27268,Fritz Chess 16 Steam Edition,Other,15,10,"0 .. 20,000",0,0,0,0,4999,4999,0,3
27269,Brazilian Adventure,Other,3,0,"0 .. 20,000",0,0,0,0,699,699,0,1
27270,Deadly Path,Other,2,0,"0 .. 20,000",0,0,0,0,99,99,0,1
27271,Super Tennis Blast,Other,44,10,"0 .. 20,000",0,0,0,0,1499,1499,0,4
27272,AppGameKit Studio,Other,25,11,"0 .. 20,000",0,0,0,0,9999,9999,0,3
27273,LYDIA: SWEET DREAMS,Other,4,0,"0 .. 20,000",0,0,0,0,999,999,0,1
27274,Yggdrasil,Other,0,2,"0 .. 20,000",0,0,0,0,999,999,0,1
